time_s,lat_deg,lon_deg,alt_m,Px_m,Py_m,Pz_m,roll_deg,pitch_deg,yaw_deg,Bx_true_nT,By_true_nT,Bz_true_nT,B_total_true_nT,B_proj_D1_nT,B_proj_D2_nT,B_proj_D3_nT,B_proj_D4_nT,Bx_meas_nT,By_meas_nT,Bz_meas_nT,B_total_meas_nT
21.0,23.03381877257992,72.5714,1021.0,1260.0000000014925,0.0,-21.0,0.0,5.0,0.0,34410.526341913646,305.76617540658657,29570.84727502317,45371.938735790216,37220.33521677067,2691.063855375457,-36762.52070305406,-2735.3041149902647,34385.20259185553,217.39609389811676,29685.830079236606,45427.28173507522
22.0,23.0343577617504,72.5714,1022.0,1320.0000000022717,0.0,-22.0,0.0,5.0,0.0,34399.917194138914,280.9144929109491,29590.786759891227,45376.73277116032,37299.11881252119,2417.7055879371137,-36815.99343137192,-3244.716751862856,34544.685800384905,567.3057652306653,29640.8842071616,45521.85375685991
23.0,23.034896750920865,72.5714,1023.0,1380.0000000016346,0.0,-23.0,0.0,5.0,0.0,34377.67355717851,240.15294260217567,29629.04047034208,45384.60258538065,37233.83099841928,2415.023145176116,-36714.50740293376,-2868.983930252636,34308.61199215904,421.44449933665976,29732.52763106102,45401.339976110256
24.0,23.035435740091337,72.5714,1024.0,1440.0000000017055,0.0,-24.0,0.0,5.0,0.0,34352.764932069294,299.4205081759092,29582.41991084541,45335.65571269825,37181.04618578903,2773.3263344292395,-36739.820235754014,-2814.575159588756,34428.30641923848,208.91770600182372,29589.041771573877,45396.732508681744
25.0,23.03597472926181,72.5714,1025.0,1500.0000000017767,0.0,-25.0,0.0,5.0,0.0,34402.53370120495,299.1228808199742,29621.654318364635,45398.966993942304,37121.36162137305,2565.627138327201,-36896.707635396975,-2875.3537445571524,34406.77799076106,231.3935840698926,29694.75032467772,45449.51167549786
26.0,23.03651371843228,72.5714,1026.0,1560.0000000014936,0.0,-26.0,0.0,5.0,0.0,34396.475671640495,287.15183114479976,29632.51240816298,45401.38529190292,37292.76444097818,2578.3170955768023,-36915.22574908218,-2896.067481980267,34503.48039131441,301.0690023905983,29762.524277064244,45567.40779329956
27.0,23.037052707602754,72.5714,1027.0,1620.0000000019188,0.0,-27.0,0.0,5.0,0.0,34389.071924479715,299.3347599818562,29618.71977392499,45386.8530542917,37261.936057209714,2505.6125092762613,-36869.95260190933,-3023.908304202488,34494.40215227199,394.16247761704335,29705.6966570446,45524.14258151139
28.0,23.037591696773227,72.5714,1028.0,1680.00000000199,0.0,-28.0,0.0,5.0,0.0,34358.51114087364,390.2648741459041,29667.64990857432,45396.35498128963,37241.270485009656,2599.961667212964,-36683.63790605995,-2751.228272952216,34327.55753388123,306.962351331352,29693.291105222444,45389.06221532389
29.0,23.0381306859437,72.5714,1029.0,1740.000000002061,0.0,-29.0,0.0,5.0,0.0,34326.16099008462,383.1489854129518,29670.562836446938,45373.7196017009,37172.540816204,2487.4707799113366,-36862.884241985725,-2961.838678414395,34417.899652182095,339.4925552826819,29698.659228189183,45461.163993180766
30.0,23.03866967511417,72.5714,1030.0,1800.000000002132,0.0,-30.0,0.0,5.0,0.0,34304.72294431537,395.4718452627072,29769.959657744035,45422.69160111871,37179.523885744566,2236.534253632858,-36691.79130458462,-2627.934962221922,34093.59474132499,380.67588111761074,29880.84082446737,45336.329415705055
31.0,23.039208664284644,72.5714,1031.0,1860.000000002203,0.0,-31.0,0.0,5.0,0.0,34339.01834537031,425.3440991348437,29813.04969636173,45477.10446723803,37134.71728768691,2300.593727640629,-36899.26827457331,-2834.2139748462114,34281.09307711465,333.0167583530549,29834.219163213034,45446.50565006918
32.0,23.03974765345512,72.5714,1032.0,1920.000000002628,0.0,-32.0,0.0,5.0,0.0,34353.123959107834,422.82360858746864,29853.081323468017,45513.97994088632,37466.60402466014,2313.1949413193665,-36791.029624676485,-2682.6373098125578,34317.75740388475,452.5055344408311,29991.2397613589,45578.36873906197
33.0,23.04028664262559,72.5714,1033.0,1980.000000002345,0.0,-33.0,0.0,5.0,0.0,34393.47652770343,371.3229303965907,29869.40971736434,45554.700583409656,37051.68948390244,2334.074472225285,-36963.42097790392,-2950.0982021833565,34337.59684892856,304.96748401327176,29761.369074907107,45441.19993726718
34.0,23.04082563179606,72.5714,1034.0,2040.0000000024163,0.0,-34.0,0.0,5.0,0.0,34383.68592310731,391.7255485228448,29897.16503235176,45565.68647058804,37295.48465616294,2450.3270943158177,-36970.84139139289,-2792.208846176925,34428.34715382048,288.6137983302096,29888.17784910081,45592.735833771214
35.0,23.041364620966533,72.5714,1035.0,2100.0000000024875,0.0,-35.0,0.0,5.0,0.0,34394.30796455772,343.6406911112837,29820.46246425637,45523.032531538905,37295.30121966037,2329.8975781084223,-36869.77866114686,-2723.136106057639,34302.44939357375,354.5339502534272,29926.39385690746,45523.32125404866
36.0,23.041903610137005,72.5714,1036.0,2160.0000000025584,0.0,-36.0,0.0,5.0,0.0,34408.31371230261,403.5178165792855,29849.97184232781,45553.43783009458,37440.58199990581,2340.883398815301,-36934.449871773606,-2958.937758026307,34500.22338274536,486.7870283152017,29910.44362540628,45663.30050422191
37.0,23.04244259930748,72.5714,1037.0,2220.000000002984,0.0,-37.0,0.0,5.0,0.0,34453.75415777024,398.18158524137056,29860.877166499497,45594.8649443297,37580.91801332904,2618.7892860967568,-36847.228647249394,-3008.4074988989214,34664.98056627761,486.4064497876168,29791.68519837723,45710.41430411683
38.0,23.04298158847795,72.5714,1038.0,2280.0000000027007,0.0,-38.0,0.0,5.0,0.0,34361.70829741123,434.8069570521935,29820.766949591383,45499.38676145122,37431.26918215928,2579.5696941490987,-36881.28406346491,-2934.4538744601173,34565.92170913799,391.8199000216375,29790.637221656278,45633.743354108505
39.0,23.043520577648422,72.5714,1039.0,2340.000000002772,0.0,-39.0,0.0,5.0,0.0,34356.68228647635,422.2091379100793,29808.04198580474,45487.1327445192,37255.73757382056,2611.2341926268687,-37034.31762536499,-2926.300000818471,34566.36016844576,232.30514701248117,29770.71488259712,45619.98120995812
40.0,23.04405956681889,72.5714,1040.0,2400.0000000021346,0.0,-40.0,0.0,5.0,0.0,34354.45165304055,425.300577882955,29813.397671607825,45488.98668565919,37384.7645016793,2422.7772597195976,-37045.716661469385,-2633.921381892758,34418.958493052225,238.24010819087516,30039.72901013365,45684.86380736916
41.0,23.044598555989367,72.5714,1041.0,2460.0000000029136,0.0,-41.0,0.0,5.0,0.0,34346.7201662117,447.650247239092,29782.171616952328,45462.90051395212,37130.54341952175,2475.225362344117,-36944.86061210553,-3153.97232964366,34513.10494558579,374.30907234575335,29638.07674139964,45494.06679112951
42.0,23.04513754515984,72.5714,1042.0,2520.000000002985,0.0,-42.0,0.0,5.0,0.0,34317.785162049135,435.7494768066821,29781.66434200089,45440.59624404927,37437.65132043953,2264.289115359805,-36655.10486641595,-2940.3938078093174,34336.79836216549,631.6144740524916,29829.41073205797,45488.55244157214
43.0,23.045676534330312,72.5714,1043.0,2580.000000003056,0.0,-43.0,0.0,5.0,0.0,34356.04137715447,404.8229185716968,29800.419623468573,45481.49591250228,37257.53907691841,2305.348762281686,-36794.83207397156,-2658.154528840829,34214.87728451218,353.127387751393,29916.3573426324,45450.75316425772
44.0,23.046215523500784,72.5714,1044.0,2640.000000003127,0.0,-44.0,0.0,5.0,0.0,34307.803809871395,463.7753990829084,29829.060590858084,45464.41845675037,37216.67665096589,2129.9203984590986,-36894.8404186812,-2864.1781696211115,34253.73636213969,457.30211788462617,29928.72013317873,45489.07416956439
45.0,23.046754512671257,72.5714,1045.0,2700.0000000031982,0.0,-45.0,0.0,5.0,0.0,34328.91217016304,518.4378549077442,29803.185348440653,45463.97305020401,37249.64618559032,2369.854221237206,-36780.85211714861,-2727.3484938093616,34263.29961223101,357.7933470844481,29848.992572761657,45442.97606897581
46.0,23.04729350184173,72.5714,1046.0,2760.000000003269,0.0,-46.0,0.0,5.0,0.0,34189.959583962984,432.1555154959683,29833.915188170635,45378.43750282235,37208.39845022122,2348.7330493012737,-36594.07200058259,-2754.588819349049,34167.21032719316,441.7518593688059,29747.603945253297,45304.67246026132
47.0,23.0478324910122,72.5714,1047.0,2820.00000000334,0.0,-47.0,0.0,5.0,0.0,34189.27108039941,365.1125617498584,29867.80555939149,45399.618645153845,37148.12929877414,2352.578701683488,-36930.80883500657,-2751.2415077575656,34287.140133477114,266.7285799945329,29867.102175752745,45472.22135595464
48.0,23.04837148018268,72.5714,1048.0,2880.000000004119,0.0,-48.0,0.0,5.0,0.0,34208.08516417787,352.17285251796505,29924.055509068094,45450.70092339045,37513.83668524706,2224.73670386476,-36764.2068717916,-2445.302543127189,34185.52264418394,420.107040947453,30141.150019618555,45577.57532917935
49.0,23.048910469353142,72.5714,1049.0,2940.000000002774,0.0,-49.0,0.0,5.0,0.0,34258.41672971605,393.9092226747068,29914.730748640613,45482.80331143037,37191.61992453072,2228.699346715437,-36730.74243701238,-2646.590808685295,34120.38441912608,380.5181171568689,29898.259293728854,45367.954943345976
50.0,23.04944945852362,72.5714,1050.0,3000.0000000035534,0.0,-50.0,0.0,5.0,0.0,34262.33403930446,399.948573625878,29905.61591727265,45479.81262135826,37284.42512786688,2396.563830036959,-36996.20995628893,-2743.779017180697,34390.29224098634,275.14941649441954,29938.62475113421,45597.03016218346
51.0,23.04998844769409,72.5714,1051.0,3060.0000000036243,0.0,-51.0,0.0,5.0,0.0,34248.55938363195,362.90044110266,29923.59553611323,45480.95300665117,37264.89648980947,2158.482072015056,-36872.94302854934,-2843.1611396408825,34268.40124327631,466.1955602779554,29936.851161316277,45505.55701807646
52.0,23.050527436864563,72.5714,1052.0,3120.000000003696,0.0,-52.0,0.0,5.0,0.0,34241.97768409316,325.6874886918255,29900.348084540336,45460.42150744864,37226.21665878637,2338.952111655222,-37046.941515619634,-2713.9469453012603,34349.19037220909,240.005940237433,29973.25142612633,45588.59817028151
53.0,23.051066426035035,72.5714,1053.0,3180.0000000037667,0.0,-53.0,0.0,5.0,0.0,34254.76128800992,367.4488946776924,29904.73471943159,45473.2542075924,37263.590271633206,2445.742202869236,-36730.41623358263,-2804.04570915625,34313.56952880122,386.0211001498546,29767.11983250668,45427.43102158044
54.0,23.051605415205508,72.5714,1054.0,3240.0000000038376,0.0,-54.0,0.0,5.0,0.0,34313.72537807891,338.6910969175115,29911.544463941635,45521.93925130723,37218.96488001602,2406.875161647632,-36951.60330765702,-2857.771279847881,34396.45691196462,311.0147032439242,29837.13935168615,45535.3474010489
